Food,Category,Calories,Protein,Carbs,Fat,Diet_Type,Health_Condition
Oats,Breakfast,389,17,66,7,Vegetarian,None
Idli,Breakfast,146,4,30,1,Vegetarian,None
Dosa,Breakfast,168,5,28,4,Vegetarian,None
Upma,Breakfast,210,6,32,5,Vegetarian,None
Paneer Curry,Lunch,320,18,12,22,Vegetarian,None
Chapati,Lunch,120,4,22,1,Vegetarian,None
Vegetable Pulao,Lunch,340,8,55,8,Vegetarian,None
Paneer Bhurji,Dinner,280,18,8,18,Vegetarian,None
Khichdi,Dinner,230,9,35,4,Vegetarian,None
Paneer Tikka,Dinner,300,22,8,18,Vegetarian,None
Yogurt,Snack,100,5,8,4,Vegetarian,None
Milk,Snack,122,8,12,5,Vegetarian,None
Protein Shake,Snack,320,25,20,8,Vegetarian,None
Fruit Bowl,Breakfast,120,2,28,1,Vegan,None
Sprouts Salad,Breakfast,140,10,18,2,Vegan,None
Tofu Scramble,Breakfast,180,14,8,10,Vegan,None
Brown Rice,Lunch,216,5,45,2,Vegan,None
Quinoa,Lunch,222,8,39,4,Vegan,None
Dal,Lunch,180,10,25,2,Vegan,None
Vegetable Soup,Dinner,120,4,18,3,Vegan,None
Tomato Soup,Dinner,110,3,20,2,Vegan,None
Steamed Vegetables,Dinner,100,4,15,2,Vegan,None
Apple,Snack,95,0,25,0,Vegan,None
Banana,Snack,105,1,27,0,Vegan,None
Orange,Snack,62,1,15,0,Vegan,None
Egg Omelette,Breakfast,220,16,2,15,Non-Vegetarian,None
High Protein Omelette,Breakfast,280,22,3,18,Non-Vegetarian,None
Grilled Chicken,Lunch,300,35,0,10,Non-Vegetarian,None
Fish Curry,Lunch,280,24,8,16,Non-Vegetarian,None
Chicken Tikka,Dinner,340,35,4,16,Non-Vegetarian,None
Fish Fry,Dinner,360,30,3,20,Non-Vegetarian,None
Boiled Egg,Snack,78,6,1,5,Non-Vegetarian,None
Chicken Wrap,Snack,280,20,25,10,Non-Vegetarian,None
Diabetic Oats,Breakfast,250,18,30,4,Vegetarian,Diabetes
Diabetic Salad,Lunch,180,10,15,4,Vegetarian,Diabetes
Diabetic Soup,Dinner,120,8,10,2,Vegetarian,Diabetes
Diabetic Snack,Snack,150,4,8,2,Vegetarian,Diabetes
Heart Healthy Oats,Breakfast,240,15,28,4,Vegetarian,Heart Disease
Heart Healthy Salad,Lunch,170,8,18,3,Vegetarian,Heart Disease
Heart Healthy Soup,Dinner,110,6,10,2,Vegetarian,Heart Disease
Heart Healthy Nuts,Snack,220,5,6,9,Vegetarian,Heart Disease
Egg White Omelette,Breakfast,220,25,2,6,Non-Vegetarian,Diabetes
Grilled Chicken Diabetes,Lunch,260,35,2,8,Non-Vegetarian,Diabetes
Fish Soup Diabetes,Dinner,180,25,3,5,Non-Vegetarian,Diabetes
Nuts,Snack,150,6,5,10,Non-Vegetarian,Diabetes
Boiled Egg Oats,Breakfast,260,20,18,8,Non-Vegetarian,Heart Disease
Grilled Fish Heart,Lunch,280,32,2,8,Non-Vegetarian,Heart Disease
Chicken Soup Heart,Dinner,180,20,4,6,Non-Vegetarian,Heart Disease
Apple Heart,Snack,95,1,22,0,Non-Vegetarian,Heart Disease
Weight Gain Dinner,Dinner,450,20,55,15,Vegetarian,None
Cheese Pasta,Dinner,420,18,60,14,Vegetarian,None
